product_name,ingredients_text,ingredients_tags,ingredients_analysis_tags,labels_tags,allergens_tags,categories_tags,nutriscore_grade,quantity,brands,index,ingredients_main_text_only,ingredients_tags_fr
Vinaigre de cidre,"[{'lang': 'main', 'text': 'cider vineg ontains milk), preservative: pota n disulphite.'}
 {'lang': 'fr', 'text': 'cider vineg ontains milk), preservative: pota n disulphite.'}
 {'lang': 'fr', 'text': 'cider vineg ontains milk), preservative: pota n disulphite.'}]",['fr:cider-vineg-ontains-milk' 'fr:preservative' 'fr:pota-n-disulphite'],"['en:palm-oil-content-unknown' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",['en:made-in-france'],[],['en:condiments' 'en:vinegars' 'en:cider-vinegars'],not-applicable,50cl,Chatel,263,cider vineg ontains milk preservative pota n disulphite,cider vineg ontains milk preservative pota n disulphite
Boite ovale violette bio,"[{'lang': 'main', 'text': ""Sucre, arôme naturel, graine d'anis vert (0,2%), extrait de violette""}
 {'lang': 'fr', 'text': ""Sucre, arôme naturel, graine d'anis vert (0,2%), extrait de violette""}
 {'lang': 'nl', 'text': 'Suiker*, natuurlijk aroma, gioen anijszaad (0,2%), viooltjes extract.'}
 {'lang': 'de', 'text': 'Zucker*, natürliches Aroma, grüner Anissamen* (0,2%). Veilchenextrakt'}
 {'lang': 'fr', 'text': ""Sucre, arôme naturel, graine d'anis vert (0,2%), extrait de violette""}
 {'lang': 'de', 'text': 'Zucker*, natürliches Aroma, grüner Anissamen* (0,2%). Veilchenextrakt'}
 {'lang': 'nl', 'text': 'Suiker*, natuurlijk aroma, gioen anijszaad (0,2%), viooltjes extract.'}]","['en:sugar' 'en:added-sugar' 'en:disaccharide' 'en:natural-flavouring'
 'en:flavouring' 'en:aniseed' 'en:seed' 'fr:extrait-de-violette']",['en:palm-oil-free' 'en:vegan' 'en:vegetarian'],"['en:organic' 'en:vegetarian' 'en:eu-organic' 'en:vegan' 'en:eve-vegan'
 'en:fr-bio-01']",['en:none'],['en:snacks' 'en:sweet-snacks' 'en:confectioneries' 'en:candies'],e,50 g,Les Anis De Flavigny,264,sucre arme naturel graine danis vert extrait de violette,extrait de violette
MIRINDA POMME 1L,"[{'lang': 'main', 'text': ""EAU GAZEIFIEE, SUCRE, ARÔME ARTIFICIEL DE POMME ROUGE, ACIDULANT (ACIDE CITRIQUE), COLORANT (CARAMEL AU SULFITE D'AMMONIUM), ÉDULCORANTS (ACESULFAME-K, SUCRALOSE), RÉGULATEUR D'ACIDITÉ (CITRATES DE SODIUM), CONSERVATEUR (BENZOATE DE SODIUM).""}
 {'lang': 'fr', 'text': ""EAU GAZEIFIEE, SUCRE, ARÔME ARTIFICIEL DE POMME ROUGE, ACIDULANT (ACIDE CITRIQUE), COLORANT (CARAMEL AU SULFITE D'AMMONIUM), ÉDULCORANTS (ACESULFAME-K, SUCRALOSE), RÉGULATEUR D'ACIDITÉ (CITRATES DE SODIUM), CONSERVATEUR (BENZOATE DE SODIUM).""}
 {'lang': 'fr', 'text': ""EAU GAZEIFIEE, SUCRE, ARÔME ARTIFICIEL DE POMME ROUGE, ACIDULANT (ACIDE CITRIQUE), COLORANT (CARAMEL AU SULFITE D'AMMONIUM), ÉDULCORANTS (ACESULFAME-K, SUCRALOSE), RÉGULATEUR D'ACIDITÉ (CITRATES DE SODIUM), CONSERVATEUR (BENZOATE DE SODIUM).""}]","['en:carbonated-water' 'en:water' 'en:sugar' 'en:added-sugar'
 'en:disaccharide' 'fr:arome-artificiel-de-pomme-rouge' 'en:acid'
 'en:colour' 'en:sweetener' 'en:acidity-regulator' 'en:preservative'
 'en:e330' 'en:e150d' 'en:e950' 'en:e955' 'en:e331' 'en:e211']","['en:palm-oil-free' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",[],[],['en:beverages' 'en:sweetened-beverages'],e,1 l,pepsico,274,eau gazeifiee sucre arme artificiel de pomme rouge acidulant acide citrique colorant caramel au sulfite dammonium dulcorants acesulfame k sucralose rgulateur dacidit citrates de sodium conservateur benzoate de sodium,arome artificiel de pomme rouge
Turrón de Jijona,"[{'lang': 'main', 'text': ""AMANDE grillée (50%). sirop de sucre inverti, miel (10%), blanc d'OEUF et émulsifiant (monotéarate de glycérol). Peut contenir des traces d'ARACHIDES et SÉSAME.""}
 {'lang': 'es', 'text': 'ALMENDRA tostada (50%), azúcar liquido invertido, miel (10%), emulgente (monoestearato de glicerina), clara de HUEVO. Puede contener frazas de CACAHUETE y SÉSAMO.'}
 {'lang': 'fr', 'text': '<span class=""allergen"">AMANDE</span> </span>grillée (50%). sirop de sucre inverti, miel (10%), blanc d\'<span class=""allergen"">OEUF</span> </span>et émulsifiant (monotéarate de glycérol). Peut contenir des traces d\'<span class=""allergen"">ARACHIDES</span> </span>et <span class=""allergen"">SÉSAME</span>.'}
 {'lang': 'fr', 'text': ""AMANDE grillée (50%). sirop de sucre inverti, miel (10%), blanc d'OEUF et émulsifiant (monotéarate de glycérol). Peut contenir des traces d'ARACHIDES et SÉSAME.""}
 {'lang': 'es', 'text': '<span class=""allergen"">ALMENDRA</span> </span>tostada (50%), azúcar liquido invertido, miel (10%), emulgente (monoestearato de glicerina), clara de <span class=""allergen"">HUEVO</span>. Puede contener frazas de <span class=""allergen"">CACAHUETE</span> </span>y <span class=""allergen"">SÉSAMO</span>.'}]","['en:roasted-almonds' 'en:nut' 'en:tree-nut' 'en:almond'
 'en:invert-sugar-syrup' 'en:added-sugar' 'en:disaccharide'
 'en:monosaccharide' 'en:invert-sugar' 'en:sugar-syrup' 'en:honey'
 'en:egg-white' 'en:egg' 'en:emulsifier' 'fr:monotearate-de-glycerol']",['en:palm-oil-free' 'en:non-vegan' 'en:vegetarian-status-unknown'],['en:no-gluten'],['en:eggs' 'en:nuts'],"['en:snacks' 'en:sweet-snacks' 'en:confectioneries' 'en:festive-foods'
 'en:christmas-foods-and-drinks' 'en:christmas-sweets' 'en:turron'
 'en:almond-turron' 'en:creamy-almond-turron']",e,150 g,Artesania,278,amande grille sirop de sucre inverti miel blanc doeuf et mulsifiant monotarate de glycrol peut contenir des traces darachides et ssame,monotearate de glycerol
Lemon Cake,"[{'lang': 'main', 'text': ""Sucre, farine de blé, æufs, graisse de palme *, humectants: sorbitols, glycérol (origine végétale - huile de colza, huile de tournesol, huile de coco); amidon de blé, glucose-fructose-sirop, agents de levure: diphosphates, carbonates de sodium; émulsifiant: mono - et diglycérides d'acides gras (origine végétale - huile de palme); sel, couleur: carotènes; régulateur d'acidité: acétates de sodium; huile de citron, huile essentielle de Lime. (* huile de palme certifiée durable) Avertissement allergène: Ce produit peut contenir des traces de noix et de produits laitiers.""}
 {'lang': 'fr', 'text': 'Sucre, farine de <span class=""allergen"">blé</span>, æufs, graisse de palme *, humectants: sorbitols, glycérol (origine végétale - huile de colza, huile de tournesol, huile de coco); amidon de blé, glucose-fructose-sirop, agents de levure: diphosphates, carbonates de sodium; émulsifiant: mono - et diglycérides d\'acides gras (origine végétale - huile de palme); sel, couleur: carotènes; régulateur d\'acidité: acétates de sodium; huile de citron, huile essentielle de Lime. (* huile de palme certifiée durable) Avertissement allergène: Ce produit peut contenir des traces de <span class=""allergen"">noix</span> et de produits <span class=""allergen"">laitiers</span>.'}
 {'lang': 'fr', 'text': ""Sucre, farine de blé, æufs, graisse de palme *, humectants: sorbitols, glycérol (origine végétale - huile de colza, huile de tournesol, huile de coco); amidon de blé, glucose-fructose-sirop, agents de levure: diphosphates, carbonates de sodium; émulsifiant: mono - et diglycérides d'acides gras (origine végétale - huile de palme); sel, couleur: carotènes; régulateur d'acidité: acétates de sodium; huile de citron, huile essentielle de Lime. (* huile de palme certifiée durable) Avertissement allergène: Ce produit peut contenir des traces de noix et de produits laitiers.""}]","['en:sugar' 'en:added-sugar' 'en:disaccharide' 'en:wheat-flour'
 'en:cereal' 'en:flour' 'en:wheat' 'en:cereal-flour' 'fr:aeufs'
 'en:palm-fat' 'en:oil-and-fat' 'en:vegetable-oil-and-fat'
 'en:palm-oil-and-fat' 'en:humectant' 'en:e422' 'en:wheat-starch'
 'en:starch' 'en:glucose-fructose' 'en:monosaccharide' 'en:fructose'
 'en:glucose' 'fr:agents-de-levure' 'en:e500' 'en:emulsifier'
 'en:palm-oil' 'en:salt' 'fr:couleur' 'en:acidity-regulator'
 'en:lemon-oil' 'en:fruit' 'en:citrus-fruit' 'en:lemon'
 'fr:huile-essentielle-de-lime' 'en:e420' 'en:e450' 'en:e471' 'en:e160'
 'en:e262' 'fr:en' 'fr:palm-oil']",['en:palm-oil' 'en:vegan-status-unknown' 'en:vegetarian-status-unknown'],['en:sustainable' 'en:sustainable-palm-oil'],['en:gluten' 'en:nuts'],['en:snacks' 'en:sweet-snacks' 'en:biscuits-and-cakes' 'en:cakes'],e,400 g,Kuchenmeister,283,sucre farine de bl ufs graisse de palme humectants sorbitols glycrol origine vgtale huile de colza huile de tournesol huile de coco amidon de bl glucose fructose sirop agents de levure diphosphates carbonates de sodium mulsifiant mono et diglycrides dacides gras origine vgtale huile de palme sel couleur carotnes rgulateur dacidit actates de sodium huile de citron huile essentielle de lime huile de palme certifie durable avertissement allergne ce produit peut contenir des traces de noix et de produits laitiers,aeufs agents de levure couleur huile essentielle de lime en palm oil
Maïs doux en grains,"[{'lang': 'main', 'text': 'Maïs doux en grains sans OGM*, eau, sel.'}
 {'lang': 'fr', 'text': 'Maïs doux en grains sans OGM*, eau, sel.'}
 {'lang': 'fr', 'text': 'Maïs doux en grains sans OGM*, eau, sel.'}]","['fr:mais-doux-en-grains-sans-ogm' 'en:cereal' 'en:vegetable'
 'en:pod-and-seed-vegetable' 'en:corn' 'en:corn-kernel' 'en:sweetcorn'
 'fr:mais-doux-en-grains' 'en:water' 'en:salt']",['en:palm-oil-free' 'en:vegan' 'en:vegetarian'],"['en:no-gmos' 'en:fsc' 'en:fsc-mix' 'en:grown-in-france'
 'en:no-added-sugar' 'en:nutriscore' 'en:nutriscore-grade-a' 'fr:triman']",[],"['en:plant-based-foods-and-beverages' 'en:plant-based-foods'
 'en:fruits-and-vegetables-based-foods' 'en:canned-foods'
 'en:cereals-and-potatoes' 'en:seeds' 'en:vegetables-based-foods'
 'en:canned-plant-based-foods' 'en:cereals-and-their-products'
 'en:canned-vegetables' 'en:cereal-grains' 'en:corn' 'en:canned-cereals'
 'en:sweet-corn' 'en:canned-corn' 'en:canned-sweet-corn']",b,450 g (3x 150 g),Bonduelle,292,mas doux en grains sans ogm eau sel,mais doux en grains sans ogm mais doux en grains
vip,"[{'lang': 'main', 'text': 'VİP CAFÉ MOULU 250g'}
 {'lang': 'fr', 'text': 'VİP CAFÉ MOULU 250g'}
 {'lang': 'fr', 'text': 'VİP CAFÉ MOULU 250g'}]",['fr:vi̇p-cafe-moulu'],"['en:palm-oil-content-unknown' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",['en:vitamin-e-source'],[],"['en:plant-based-foods-and-beverages' 'en:plant-based-foods' 'en:coffees'
 'en:coffee-beans']",unknown,250g,vip,299,vp caf moulu g,vip cafe moulu
Céréales fourrées chocolat noisettes 325g BIO,"[{'lang': 'main', 'text': ""Sucre* - farine de riz* 18,4% - farine de blé* 17,4% - farine d'avoine* 14% - cacao en poudre* 13% - noisettes* 5,2% - huile de noix de coco* - lait écrémé en poudre* - sel, émulsifiant: lécithine de tournesol - aromes naturels.* issu(e) de l'agriculture biologique.""}
 {'lang': 'fr', 'text': 'Sucre* - farine de riz* 18,4% - farine de <span class=""allergen"">blé*</span> 17,4% - farine d\'avoine* 14% - cacao en poudre* 13% - <span class=""allergen"">noisettes*</span> 5,2% - huile de noix de coco* - lait écrémé en poudre* - sel, émulsifiant: lécithine de tournesol - aromes naturels.* issu(e) de l\'agriculture biologique.'}
 {'lang': 'fr', 'text': ""Sucre* - farine de riz* 18,4% - farine de blé* 17,4% - farine d'avoine* 14% - cacao en poudre* 13% - noisettes* 5,2% - huile de noix de coco* - lait écrémé en poudre* - sel, émulsifiant: lécithine de tournesol - aromes naturels.* issu(e) de l'agriculture biologique.""}]","['en:sugar' 'en:added-sugar' 'en:disaccharide' 'en:rice-flour' 'en:flour'
 'en:rice' 'en:wheat-flour' 'en:cereal' 'en:wheat' 'en:cereal-flour'
 'en:oat-flour' 'en:oat' 'en:cocoa-powder' 'en:plant' 'en:cocoa'
 'en:hazelnut' 'en:nut' 'en:tree-nut' 'en:oil' 'en:oil-and-fat' 'fr:bio'
 'en:skimmed-milk-powder' 'en:dairy' 'en:milk-powder' 'en:salt'
 'en:emulsifier' 'en:natural-flavouring' 'en:flavouring' 'en:coconut-oil'
 'en:vegetable-oil-and-fat' 'en:vegetable-oil' 'en:sunflower-lecithin'
 'en:e322' 'en:e322i']",['en:palm-oil-free' 'en:non-vegan' 'en:vegetarian-status-unknown'],"['en:organic' 'en:eu-organic' 'en:non-eu-agriculture' 'en:eu-agriculture'
 'en:eu-non-eu-agriculture' 'en:it-bio-014' 'en:no-palm-oil'
 'fr:ab-agriculture-biologique']",['en:gluten' 'en:milk' 'en:nuts'],"['en:plant-based-foods-and-beverages' 'en:plant-based-foods'
 'en:breakfasts' 'en:cereals-and-potatoes' 'en:cereals-and-their-products'
 'en:breakfast-cereals' 'en:chocolate-cereals' 'en:extruded-cereals'
 'en:filled-cereals'
 'en:breakfast-cereals-filled-with-chocolate-hazelnuts']",d,325 g,"Casino, Casino Bio",314,sucre farine de riz farine de bl farine davoine cacao en poudre noisettes huile de noix de coco lait crm en poudre sel mulsifiant lcithine de tournesol aromes naturels issue de lagriculture biologique,bio
Sauce barbecue douce et fumée,"[{'lang': 'main', 'text': ""Eau, purée de tomates double concentrée 21%, sirop de glucose-fructose, vinaigre d'alcool, sirop de candi, sucre, amidon modifié de maïs, sel, huile de colza, épaississant : gomme xanthane, conservateur : sorbate de potassium, oignon grillé, arôme de fumée, épices, arôme naturel de cumin.""}
 {'lang': 'fr', 'text': ""Eau, purée de tomates double concentrée 21%, sirop de glucose-fructose, vinaigre d'alcool, sirop de candi, sucre, amidon modifié de maïs, sel, huile de colza, épaississant : gomme xanthane, conservateur : sorbate de potassium, oignon grillé, arôme de fumée, épices, arôme naturel de cumin.""}
 {'lang': 'nl', 'text': 'Water, dubbel geconcentreerde tomatenpuree 21%, glucose-fructosestroop, alcoholazijn, kandijstroop, suiker, gemodificeerd maïszetmeel, zout, koolzaadolie, verdikkingsmiddel: xanthaangom, conserveermiddel: kaliumsorbaat, geroosterde ui, rookaroma, specerijen, natuurlijk komijnaroma.'}
 {'lang': 'fr', 'text': ""Eau, purée de tomates double concentrée 21%, sirop de glucose-fructose, vinaigre d'alcool, sirop de candi, sucre, amidon modifié de maïs, sel, huile de colza, épaississant : gomme xanthane, conservateur : sorbate de potassium, oignon grillé, arôme de fumée, épices, arôme naturel de cumin.""}
 {'lang': 'nl', 'text': 'Water, dubbel geconcentreerde tomatenpuree 21%, glucose-fructosestroop, alcoholazijn, kandijstroop, suiker, gemodificeerd maïszetmeel, zout, koolzaadolie, verdikkingsmiddel: xanthaangom, conserveermiddel: kaliumsorbaat, geroosterde ui, rookaroma, specerijen, natuurlijk komijnaroma.'}]","['en:water' 'en:double-concentrated-tomato' 'en:vegetable'
 'en:fruit-vegetable' 'en:tomato' 'en:tomato-concentrate'
 'en:glucose-fructose-syrup' 'en:added-sugar' 'en:monosaccharide'
 'en:fructose' 'en:glucose' 'en:alcohol-vinegar' 'en:vinegar'
 'fr:sirop-de-candi' 'en:disaccharide' 'en:sugar'
 'en:modified-corn-starch' 'en:starch' 'en:corn-starch'
 'en:modified-starch' 'en:salt' 'en:colza-oil' 'en:oil-and-fat'
 'en:vegetable-oil-and-fat' 'en:rapeseed-oil' 'en:thickener'
 'en:preservative' 'en:onion' 'en:root-vegetable'
 'en:onion-family-vegetable' 'en:smoke-flavouring' 'en:flavouring'
 'en:spice' 'en:condiment' 'fr:arome-naturel-de-cumin' 'en:e415' 'en:e202']","['en:palm-oil-free' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",['en:made-in-belgium' 'en:nutriscore' 'en:nutriscore-grade-d'],[],['en:condiments' 'en:sauces' 'en:barbecue-sauces' 'en:groceries'],d,570 g,Carrefour,317,eau pure de tomates double concentre sirop de glucose fructose vinaigre dalcool sirop de candi sucre amidon modifi de mas sel huile de colza paississant gomme xanthane conservateur sorbate de potassium oignon grill arme de fume pices arme naturel de cumin,sirop de candi arome naturel de cumin
Fruity,"[{'lang': 'main', 'text': ""Lait frais demi-écrémé, sucre, poudre de lait sans crème, épaississant:amidon, arôme colorant, régulateur d'acidité:acide citrique, ferments laitiers choisis.""}
 {'lang': 'fr', 'text': ""Lait frais demi-écrémé, sucre, poudre de lait sans crème, épaississant:amidon, arôme colorant, régulateur d'acidité:acide citrique, ferments laitiers choisis.""}
 {'lang': 'fr', 'text': ""Lait frais demi-écrémé, sucre, poudre de lait sans crème, épaississant:amidon, arôme colorant, régulateur d'acidité:acide citrique, ferments laitiers choisis.""}]","['en:fresh-organic-pasteurised-semi-skimmed-milk' 'en:dairy' 'en:milk'
 'en:pasteurised-milk' 'en:semi-skimmed-milk' 'en:fresh-milk' 'en:sugar'
 'en:added-sugar' 'en:disaccharide' 'fr:poudre-de-lait-sans-creme'
 'en:thickener' 'fr:arome-colorant' 'en:acidity-regulator'
 'fr:ferments-laitiers-choisis' 'en:starch' 'en:e330']","['en:palm-oil-content-unknown' 'en:non-vegan'
 'en:vegetarian-status-unknown']",,['en:milk'],"['en:dairies' 'en:fermented-foods' 'en:fermented-milk-products'
 'en:desserts' 'en:dairy-desserts' 'en:fermented-dairy-desserts'
 'en:fermented-dairy-desserts-with-fruits' 'en:yogurts' 'en:fruit-yogurts'
 'en:fermented-dairy-desserts-with-fruits-sugar-and-cream']",b,220 g,jaouda,321,lait frais demi crm sucre poudre de lait sans crme paississantamidon arme colorant rgulateur daciditacide citrique ferments laitiers choisis,poudre de lait sans creme arome colorant ferments laitiers choisis
Rollino Cacao,"[{'lang': 'main', 'text': 'Zucker, pflanzliche Fette (Palm-, Palmkern-, Kokosfett, Sonnenblumenöl in veränderlichen Gewichtsanteilen), Glukose-Fruktose-Sirup, EIER* (11%), WEIZENmehl, rekonstituierte MagerMILCH (10,2%), MILCHpulver, mageres Kakaopulver (3,7%), MagerMILCHpulver, HASELNUSSpaste, Emulgatore: Mono - und Diglyceride von Speisefettsäuren, SOJAlecithine, Alkohol, MILCHeiweiß, Aromen, Backtriebmittel: Ammoniumcarbonate, Natriumcarbonate, Diphosphate, Salz, \r\nKann Spuren von weiteren SCHALENFRÜCHTEN enthalten, \r\n*aus Bodenhaltung,'}
 {'lang': 'en', 'text': 'sugar, vegetable fats (palm, palm kernel, coconut fat, sunflower oil in variable proportions), glucose-fructose syrup, eggs* (11%), wheat flour, reconstituted skimmed milk (10.2%), milk powder, skimmed cocoa powder (3.7%), skimmed milk powder, hazelnut paste, emulsifiers: mono - and diglycerides of fatty acids, soy lecithins, alcohol, milk protein, flavourings, raising agents: ammonium carbonates, sodium carbonates, diphosphates, salt, \r\nmay contain traces of other nuts, \r\n*from barn hens,'}
 {'lang': 'fr', 'text': 'sucre; Graisses vegetales (palme , palmiste, coco, tournesol en proportion variable),\' Sirop de glucose-fructose; <span class=""allergen"">ŒUFS</span> </span>frais; Farine de <span class=""allergen"">BLE</span> (10.7%); <span class=""allergen"">LAIT</span> </span>ecreme (10.3%); <span class=""allergen"">LAIT</span> </span>en poudre; Cacao maigre en poudre (3.7%); <span class=""allergen"">LAIT</span> </span>ecremé en poudre; Pâte de <span class=""allergen"">NOISETTES</span>; Protéines de <span class=""allergen"">LAIT</span>; Arômes,\' Emulsifiants: Mono - et diglycérides d\'acides gras, Lecithine de <span class=""allergen"">SOJA</span>; Poudres à lever: Carbonates d\'ammonium, Carbonates de sodium, Diphosphates; Sel.'}
 {'lang': 'de', 'text': 'Zucker, pflanzliche Fette (Palm-, Palmkern-, Kokosfett, Sonnenblumenöl in veränderlichen Gewichtsanteilen), Glukose-Fruktose-Sirup, EIER* (11%), WEIZENmehl, rekonstituierte MagerMILCH (10,2%), MILCHpulver, mageres Kakaopulver (3,7%), MagerMILCHpulver, HASELNUSSpaste, Emulgatore: Mono - und Diglyceride von Speisefettsäuren, SOJAlecithine, Alkohol, MILCHeiweiß, Aromen, Backtriebmittel: Ammoniumcarbonate, Natriumcarbonate, Diphosphate, Salz, \r\nKann Spuren von weiteren SCHALENFRÜCHTEN enthalten, \r\n*aus Bodenhaltung,'}
 {'lang': 'de', 'text': 'Zucker, pflanzliche Fette (Palm-, Palmkern-, Kokosfett, Sonnenblumenöl in veränderlichen Gewichtsanteilen), Glukose-Fruktose-Sirup, <span class=""allergen"">EIER</span>* (11%), <span class=""allergen"">WEIZENmehl</span>, rekonstituierte MagerMILCH (10,2%), <span class=""allergen"">MILCHpulver</span>, mageres Kakaopulver (3,7%), <span class=""allergen"">MagerMILCHpulver</span>, <span class=""allergen"">HASELNUSSpaste</span>, Emulgatore: Mono - und Diglyceride von Speisefettsäuren, <span class=""allergen"">SOJAlecithine</span>, Alkohol, <span class=""allergen"">MILCHeiweiß</span>, Aromen, Backtriebmittel: Ammoniumcarbonate, Natriumcarbonate, Diphosphate, Salz, \r\nKann Spuren von weiteren <span class=""allergen"">SCHALENFRÜCHTEN</span> enthalten, \r\n*aus Bodenhaltung,'}
 {'lang': 'en', 'text': 'sugar, vegetable fats (palm, palm kernel, coconut fat, sunflower oil in variable proportions), glucose-fructose syrup, <span class=""allergen"">eggs*</span> (11%), <span class=""allergen"">wheat flour</span>, reconstituted skimmed milk (10.2%), <span class=""allergen"">milk powder</span>, skimmed cocoa powder (3.7%), skimmed milk powder, hazelnut paste, emulsifiers: mono - and diglycerides of fatty acids, <span class=""allergen"">soy lecithins</span>, alcohol, <span class=""allergen"">milk protein</span>, flavourings, raising agents: ammonium carbonates, sodium carbonates, diphosphates, salt, \r\nmay contain traces of other <span class=""allergen"">nuts</span>, \r\n*from barn hens,'}
 {'lang': 'fr', 'text': ""sucre; Graisses vegetales (palme , palmiste, coco, tournesol en proportion variable),' Sirop de glucose-fructose; ŒUFS frais; Farine de BLE (10.7%); LAIT ecreme (10.3%); LAIT en poudre; Cacao maigre en poudre (3.7%); LAIT ecremé en poudre; Pâte de NOISETTES; Protéines de LAIT; Arômes,' Emulsifiants: Mono - et diglycérides d'acides gras, Lecithine de SOJA; Poudres à lever: Carbonates d'ammonium, Carbonates de sodium, Diphosphates; Sel.""}]","['en:sugar' 'en:added-sugar' 'en:disaccharide' 'en:vegetable-fat'
 'en:oil-and-fat' 'en:vegetable-oil-and-fat' 'en:glucose-fructose-syrup'
 'en:monosaccharide' 'en:fructose' 'en:glucose' 'en:egg' 'en:wheat-flour'
 'en:cereal' 'en:flour' 'en:wheat' 'en:cereal-flour'
 'en:reconstituted-skimmed-milk' 'en:dairy' 'en:milk' 'en:skimmed-milk'
 'en:milk-powder' 'en:skimmed-cocoa-powder' 'en:plant' 'en:cocoa'
 'en:cocoa-powder' 'en:skimmed-milk-powder' 'en:hazelnut-paste' 'en:nut'
 'en:tree-nut' 'en:hazelnut' 'de:emulgatore' 'en:soya-lecithin' 'en:e322'
 'en:e322i' 'en:alcohol' 'en:milk-proteins' 'en:protein'
 'en:animal-protein' 'en:flavouring' 'en:raising-agent' 'en:e500'
 'en:e450' 'en:salt' 'fr:issu-de-poules-elevees-au-sol' 'en:palm'
 'en:palm-oil-and-fat' 'en:palm-oil' 'en:palm-kernel-oil'
 'en:palm-kernel-oil-and-fat' 'en:coconut-fat' 'en:sunflower-oil'
 'en:vegetable-oil' 'en:e471' 'en:e503']",['en:palm-oil' 'en:non-vegan' 'en:vegetarian-status-unknown'],['en:made-in-italy'],['en:eggs' 'en:gluten' 'en:milk' 'en:nuts' 'en:soybeans'],"['en:snacks' 'en:sweet-snacks' 'en:biscuits-and-cakes' 'en:cakes'
 'en:pastries']",e,"6 x 37 g, 220 g",Balconi,324,zucker pflanzliche fette palm palmkern kokosfett sonnenblumenl in vernderlichen gewichtsanteilen glukose fruktose sirup eier weizenmehl rekonstituierte magermilch milchpulver mageres kakaopulver magermilchpulver haselnusspaste emulgatore mono und diglyceride von speisefettsuren sojalecithine alkohol milcheiwei aromen backtriebmittel ammoniumcarbonate natriumcarbonate diphosphate salz kann spuren von weiteren schalenfrchten enthalten aus bodenhaltung,issu de poules elevees au sol
Choco-swing,"[{'lang': 'main', 'text': 'Sugar, palm oil, wheat flour, skimmed milk powder, sweet whey powder (from milk), cocoa butter, cocoa mass, milk fat, emulsifiers (soya lecithins, E481, sunflower lecithins), dextrose, salt, flavourings, raising agent (E500). May contain nuts.'}
 {'lang': 'fr', 'text': 'Sugar, palm oil, wheat flour, skimmed milk powder, sweet whey powder (from milk), cocoa butter, cocoa mass, milk fat, emulsifiers (soya lecithins, E481, sunflower lecithins), dextrose, salt, flavourings, raising agent (E500). May contain nuts.'}
 {'lang': 'fr', 'text': 'Sugar, palm oil, <span class=""allergen"">wheat flour</span>, skimmed milk powder, sweet whey powder (from milk), cocoa butter, cocoa mass, milk fat, emulsifiers (<span class=""allergen"">soya lecithins</span>, E481, sunflower lecithins), dextrose, salt, flavourings, raising agent (E500). May contain nuts.'}]","['fr:sugar' 'fr:palm-oil' 'fr:wheat-flour' 'fr:skimmed-milk-powder'
 'fr:sweet-whey-powder' 'fr:cocoa-mass' 'fr:milk-fat' 'fr:emulsifiers'
 'en:dextrose' 'en:added-sugar' 'en:monosaccharide' 'en:glucose' 'fr:salt'
 'fr:flavourings' 'fr:raising-agent' 'fr:may-contain-nuts' 'fr:from-milk'
 'fr:soya-lecithins' 'en:e481' 'fr:sunflower-lecithins' 'en:e500']","['en:may-contain-palm-oil' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",['en:pure-cocoa-butter'],['en:gluten' 'en:soybeans'],"['en:snacks' 'en:sweet-snacks' 'en:cocoa-and-its-products'
 'en:biscuits-and-cakes' 'en:biscuits' 'en:chocolates'
 'en:milk-chocolates' 'en:filled-chocolates' 'en:filled-milk-chocolates']",e,100 gram,Milka,330,sugar palm oil wheat flour skimmed milk powder sweet whey powder from milk cocoa butter cocoa mass milk fat emulsifiers soya lecithins e sunflower lecithins dextrose salt flavourings raising agent e may contain nuts,sugar palm oil wheat flour skimmed milk powder sweet whey powder cocoa mass milk fat emulsifiers salt flavourings raising agent may contain nuts from milk soya lecithins sunflower lecithins
